日期,老客留存人数
2025-11-12,49
2025-11-13,53
2025-11-14,45
2025-11-15,31
2025-11-16,19
2025-11-17,29
2025-11-18,40
2025-11-19,48
2025-11-20,66
2025-11-21,98
2025-11-22,66
2025-11-23,49
2025-11-24,56
2025-11-25,78
2025-11-26,82
2025-11-27,88
2025-11-28,92
2025-11-29,69
2025-11-30,66
2025-12-01,59
2025-12-02,92
2025-12-03,88
2025-12-04,91
2025-12-05,80
2025-12-06,51
2025-12-07,56
2025-12-08,76
2025-12-09,95
2025-12-10,101
2025-12-11,113
2025-12-12,97
2025-12-13,64
2025-12-14,50
2025-12-15,59
2025-12-16,105
2025-12-17,106
2025-12-18,123
2025-12-19,110
2025-12-20,90
2025-12-21,82
2025-12-22,79
2025-12-23,92
2025-12-24,97
2025-12-25,106
2025-12-26,95
2025-12-27,80
2025-12-28,93
2025-12-29,99
2025-12-30,96
2025-12-31,85
2026-01-01,71
2026-01-02,74
2026-01-03,71
2026-01-04,69
2026-01-05,84
2026-01-06,84
2026-01-07,94
2026-01-08,81
2026-01-09,92
2026-01-10,82
2026-01-11,70
2026-01-12,85
2026-01-13,97
2026-01-14,89
2026-01-15,94
2026-01-16,88
2026-01-17,68
2026-01-18,65
2026-01-19,66
2026-01-20,94
2026-01-21,92
2026-01-22,86
2026-01-23,86
2026-01-24,60
2026-01-25,58
2026-01-26,67
2026-01-27,71
2026-01-28,72
2026-01-29,79
2026-01-30,84
2026-01-31,65
2026-02-01,76
2026-02-02,68
2026-02-03,73
2026-02-04,85
2026-02-05,79
